UniqueID,dung_area_cm2,SWC_%,S_temp
CG1_C_RE_17jul,0,30.7,19.6
HG1_F_NEE_17jul,660,31.8,19
HG1_F_RE_17jul,660,31.8,19
HG1_C_NEE_17jul,0,25,20.5
HG1_C_RE_17jul,0,25,20.5
HG4_F_NEE_17jul,754,24.3,20.8
HG4_F_RE_17jul,754,24.3,20.8
HG4_C_NEE_17jul,0,28,21.4
HG4_C_RE_17jul,0,28,21.4
HG5_F_NEE_17jul,696,24,20.7
HG5_F_RE_17jul,696,24,20.7
HG5_C_NEE_17jul,0,23.2,22.3
HG5_C_RE_17jul,0,23.2,22.3
CG2_F_NEE_17jul,306,31,21.9
CG2_F_RE_17jul,306,31,21.9
CG2_C_NEE_17jul,0,29.3,22.6
CG2_C_RE_17jul,0,29.3,22.6
HG2_F_NEE_18jul,1015,30.7,19.7
HG2_F_RE_18jul,1015,30.7,19.7
HG2_C_NEE_18jul,0,26.3,21.3
HG2_C_RE_18jul,0,26.3,21.3
CG4_F_NEE_18jul,1178,26.9,19.2
CG4_F_RE_18jul,1178,26.9,19.2
CG4_C_NEE_18jul,0,24.6,20.4
CG4_C_RE_18jul,0,24.6,20.4
HG3_F_NEE_18jul,759,22.4,20.8
HG3_F_RE_18jul,759,22.4,20.8
HG3_C_NEE_18jul,0,19.7,22.6
HG3_C_RE_18jul,0,19.7,22.6
CG3_F_NEE_18jul,165,17.2,21.9
CG3_F_RE_18jul,165,17.2,21.9
CG3_C_NEE_18jul,0,21.1,23.3
CG3_C_RE_18jul,0,21.1,23.3
CG1_F_NEE_29jul,399,15.1,21
CG1_F_RE_29jul,399,15.1,21
CG1_C_NEE_29jul,0,19.5,19.4
CG1_C_RE_29jul,0,19.5,19.4
HG1_F_NEE_29jul,273,22,19.8
HG1_F_RE_29jul,273,22,19.8
HG1_C_NEE_29jul,0,17.9,21.7
HG1_C_RE_29jul,0,17.9,21.7
HG2_F_NEE_29jul,154,21.3,20.7
HG2_F_RE_29jul,154,21.3,20.7
HG2_C_NEE_29jul,0,19.8,20.9
HG2_C_RE_29jul,0,19.8,20.9
CG2_F_NEE_29jul,336,24.8,22
CG2_F_RE_29jul,336,24.8,22
CG2_C_NEE_29jul,0,23,22.5
CG2_C_RE_29jul,0,23,22.5
HG3_F_NEE_30jul,504,21.3,19.7
HG3_F_RE_30jul,504,21.3,19.7
HG3_C_NEE_30jul,0,18.8,21.1
HG3_C_RE_30jul,0,18.8,21.1
CG3_F_NEE_30jul,35,16.6,21.6
CG3_F_RE_30jul,35,16.6,21.6
CG3_C_NEE_30jul,0,17.7,23
CG3_C_RE_30jul,0,17.7,23
CG4_F_NEE_30jul,759,22.1,18.7
CG4_F_RE_30jul,759,22.1,18.7
CG4_C_NEE_30jul,0,22.5,19.6
CG4_C_RE_30jul,0,22.5,19.6
HG4_F_NEE_30jul,648,14.4,21.9
HG4_F_RE_30jul,648,14.4,21.9
HG4_C_NEE_30jul,0,17.8,21.8
HG4_C_RE_30jul,0,17.8,21.8
CG5_F_NEE_30jul,160,22.5,24
CG5_F_RE_30jul,160,22.5,24
CG5_C_NEE_30jul,0,23,23.5
CG5_C_RE_30jul,0,23,23.5
HG5_F_NEE_30jul,532,11.2,20.8
HG5_F_RE_30jul,532,11.2,20.8
HG5_C_NEE_30jul,0,16.1,22.7
HG5_C_RE_30jul,0,16.1,22.7
PIT_1_NEE_31jul,0,9,28.1
PIT_1_RE_31jul,0,9,28.1
PIT_2_NEE_31jul,0,7.7,26.7
PIT_2_RE_31jul,0,7.7,26.7
PIT_3_NEE_31jul,0,7.3,24.9
PIT_3_RE_31jul,0,7.3,24.9
PIT_4_NEE_01aug,0,7.4,24.5
PIT_4_RE_01aug,0,7.4,24.5
